Story,Area,Code,Definition of Done,Dependencies,Epic,Exit Criteria,Horizon,Legacy Source,Order,Prefix,Priority,Repo Evidence,Source GDD,Spec State,Status,Summary,System Area,Theme,Type,Wave
"Expand crafting and research beyond the minimal baseline into a broader project tree with meaningful recipe breadth, catalysts, and later build options.",Economy / Support,V2-ITEM-007,"Research and crafting support broader recipes, project chains, and catalyst logic without collapsing the economy split between Ekwan, Ase, and rare relics.","V2-ECONOMY-003, V2-ECONOMY-004, V2-ITEM-004",Inventory and Loadout,Making and upgrading become a full progression branch rather than a single starter hook.,Post-Foundation,"ITEM-001, ITEM-002",470,ECONOMY,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/docs/Echoes vNext Working http://GDD.md,Echoes vNext Working GDD V2 section 22.5: crafting and research breadth beyond minimal hooks belongs to post-foundation expansion.,Open,Superseded,Open the wider maker loop only after the first simple crafting and project seams exist.,ECONOMY / EMOTION / COMBAT,Economy,New,Expansion
"Expand Sanctum jobs into deeper pillars, office politics, and institutional tension so duty, hierarchy, and governance become a real social layer rather than only lightweight assignments.",Sanctum,V2-SANCTUM-009,"Office roles can create rivalry, governance tension, and institutional obligation beyond passive stat shifts; social incidents reflect those structures.","V2-SANCTUM-006, V2-SANCTUM-007, V2-CONTINUITY-003",Sanctum Social Expansion,"The house starts behaving like a society, not just a roster and room set.",Post-Foundation,SANCTUM-009,460,SANCTUM,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/ui/screens/sanctum/http://SanctumScreen.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/core/state/flow/states/sanctum,"Echoes vNext Working GDD V2 section 22.5: deep Sanctum jobs, pillars, and office politics are post-foundation expansion.",Open,Draft,Move from first jobs to real house governance and social institution pressure.,SANCTUM / BOND / VOW / VOICE,Sanctum Life,New,Expansion
Implement Standing-9 culmination and adjacent synthesis so the late calling lattice can deliver final calling shape without confusing it for mythic status.,Echo Progression,V2-PROG-016,"Standing-9 callings can be recognized and persisted with naming validation, adjacency logic, and clear separation from mythic state.",V2-PROG-012,Calling Lattice Bridge,Late calling culmination exists as its own complete progression layer.,Full Game,None,520,PROG,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/docs/http://calling-reference.md; /Users/jeffreygyamfi/Sites/echoes-vnext/docs/Echoes vNext Working http://GDD.md,"Echoes vNext Working GDD V2: Standing-9 remains calling culmination and adjacent synthesis, not mythic status.",Mostly Locked,Draft,Complete the calling lattice before mythic systems take over as the highest-end house logic.,PROG,Callings,New,Full Game
"Expand the Thread reserve into a true multi-Thread strategy layer with reserve growth, allocation tension, and later reserve expansion so stored stories become a meaningful planning resource.",Echo Progression,V2-WEAVE-005,"The reserve supports multiple stored Threads with meaningful allocation pressure, growth, and expansion hooks; UI and save state stay legible.","V2-WEAVE-001, V2-WEAVE-003, V2-CONTINUITY-001",Weave Expansion,Reserve management becomes a real post-foundation loop rather than a simple cap.,Post-Foundation,None,420,WEAVE,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/core/save/http://SaveSchema.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/docs/Echoes vNext Working http://GDD.md,Echoes vNext Working GDD V2 section 22.5: full multi-Thread reserve strategy is post-foundation expansion.,Mostly Locked,Superseded,Move reserve from capped holding to an actual strategic story resource.,WEAVE,Threads,New,Expansion
"Spread distortion into the full family set with named conditions, differentiated causes, and remedy routes so contamination, overgrowth, and instability become real long-run shaping forces.",Echo Progression,V2-PROG-013,"Multiple distortion families exist with named conditions, symptom texture, and preferred remedy routes; aftermath can persist into later house and behavior state.","V2-WEAVE-006, V2-PROG-010",Person-Shaping Readability,Distortion becomes a broad future-shaping layer instead of a narrow warning track.,Post-Foundation,None,440,PROG,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/docs/Echoes vNext Working http://GDD.md,Echoes vNext Working GDD V2 sections 15.4 and 22.5: full distortion family spread is post-foundation expansion.,Mostly Locked,Draft,Turn distortion from foreshadowed pressure into the wider long-run shaping system the GDD describes.,PROG,Emotion,New,Expansion
"Grow the Sanctum into a multi-zone house so expansion changes where Echoes live, work, gather, and withdraw instead of only adding abstract unlocks.",Sanctum,V2-SANCTUM-011,"Sanctum expansion can add multiple zones with distinct use, movement, and incident behavior; UI and state reflect those differentiated spaces.","V2-CONTINUITY-003, V2-SANCTUM-009",Sanctum Social Expansion,The house becomes spatially and socially richer as it grows.,Post-Foundation,None,490,SANCTUM,P2,/Users/jeffreygyamfi/Sites/echoes-vnext/ui/sanctum/http://SanctumSpatialRenderer.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/ui/shells/http://SanctumShell.gd,Echoes vNext Working GDD V2 section 22.5: multi-zone Sanctum growth belongs to post-foundation expansion.,Open,Superseded,Turn house growth into real spatial differentiation once the base institution tree exists.,SANCTUM / BOND / VOW / VOICE,Sanctum Life,New,Expansion
Grow Continuity into the full institution tree with house-shape differentiation so the Sanctum can diverge culturally and structurally instead of only unlocking the first few spaces.,Sanctum,V2-CONTINUITY-003,"Continuity can unlock broader institution branches and visible house-shape differences with distinct bonuses, deficits, and cultural texture.","V2-CONTINUITY-001, V2-SANCTUM-007",House Growth Seed,Sanctum growth supports meaningful long-form house identity.,Post-Foundation,SANCTUM-BLD-003,450,CONTINUITY,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/ui/screens/sanctum/http://SanctumScreen.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/ui/sanctum/http://SanctumSpatialRenderer.gd,Echoes vNext Working GDD V2 section 22.5: full Continuity institution tree and house-shape differentiation are post-foundation expansion.,Mostly Locked,Superseded,Let the house become structurally different from run to run instead of only larger.,SANCTUM / BOND / VOW / VOICE,Continuity,New,Expansion
"Implement full mythic recognition rites with retry, redirection, and failure cadence so mythic emergence becomes a rare, socially weighty house event instead of a simple promotion.",Echo Progression,V2-PROG-015,"Mythic recognition supports readiness, acceptance, failed recognition, redirection, and retry cadence with visible house consequence and rarity discipline.","V2-PROG-011, V2-PROG-014, V2-WEAVE-006, V2-CONTINUITY-003",Mythic Progression,Mythic status becomes a major late-game social transition rather than a stat threshold.,Full Game,None,530,PROG,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/docs/Echoes vNext Working http://GDD.md,"Echoes vNext Working GDD V2 sections 11.8, 21.6, and 22.5: mythic recognition should be multi-step, fallible, and socially weighty.",Mostly Locked,Draft,Turn mythic readiness into the full rite and house-recognition system described by the GDD.,PROG,Callings,New,Full Game
Add tactical pre-positioning and mid-battle guidance expansions so the Keeper can influence combat beyond opening preparation without undermining the guide-rather-than-command fantasy.,Realm / Tactical,V2-COMBAT-004,"The player gains additional pre-positioning or in-battle guidance options that remain limited, legible, and compatible with autonomy systems.","V2-COMBAT-001, V2-COMBAT-002, V2-INFRA-004",Tactical Expansion,Combat becomes tactically richer without becoming direct micromanagement.,Post-Foundation,COMBAT-004,480,COMBAT,P2,/Users/jeffreygyamfi/Sites/echoes-vnext/core/combat/http://CombatState.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/core/state/flow/states/venture/http://FlowEncounterState.gd,Echoes vNext Working GDD V2 section 22.5: tactical pre-positioning and mid-battle guidance expansions are post-foundation systems.,Open,Superseded,Deepen tactical influence carefully after the basic guidance fantasy is already proven.,ECONOMY / EMOTION / COMBAT,Combat,New,Expansion
"Expand the Sanctum into multi-zone growth so the house can gain layered spatial identity, circulation, and specialization beyond the first-zone foundation shell.",Sanctum,V2-SANCTUM-102,"Backlog defines multi-zone growth, zone specialization, and spatial differentiation as a later expansion of the read-only embodiment layer.","V2-CONTINUITY-101, V2-SANCTUM-007",Expanded Sanctum Growth,Sanctum spatial growth can expand without confusing the foundation house loop.,Post-Foundation,None,480,SANCTUM,P2,/Users/jeffreygyamfi/Sites/echoes-vnext/ui/sanctum/http://SanctumSpatialRenderer.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/docs/Echoes vNext Working http://GDD.md,Echoes vNext Working GDD V2 section 22.5: multi-zone Sanctum growth is a later expansion system.,Open,Superseded,Move from a single embodied house shell toward a larger living place with differentiated zones and house circulation.,SANCTUM / BOND / VOW / VOICE,Sanctum Life,New,Expansion
"Expand crafting and research beyond the minimal baseline so the house can pursue broader item trees, longer projects, and deeper material specialization without drowning the player in recipe noise.",Economy / Support,V2-ECONOMY-101,"Backlog defines broader project trees, research or recipe expansion, and material specialization while preserving the restrained V2 item philosophy.","V2-ECONOMY-003, V2-ECONOMY-004, V2-ITEM-004",Expanded Economy and Craft,Crafting can become a deeper long-run layer after the baseline exists.,Post-Foundation,None,460,ECONOMY,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/docs/Echoes vNext Working http://GDD.md,Echoes vNext Working GDD V2 section 22.5: crafting and research breadth beyond minimal hooks are post-foundation expansion.,Open,Superseded,Let making and house projects deepen later without forcing recipe sprawl into the first proof.,ECONOMY / EMOTION / COMBAT,Economy,New,Expansion
Add tactical pre-positioning and mid-battle guidance expansions so the Keeper can influence autobattle more deeply after the core foundation loop is proven.,Economy / Support,V2-COMBAT-101,Backlog defines pre-positioning and in-fight guidance as explicit later control surfaces with constraints that preserve autonomy and readability.,"V2-COMBAT-001, V2-COMBAT-002, V2-INFRA-004",Expanded Tactical Layer,Combat can deepen later without corrupting the foundation guidance fantasy.,Post-Foundation,"COMBAT-004, GRID-004",470,COMBAT,P2,/Users/jeffreygyamfi/Sites/echoes-vnext/core/combat/http://CombatState.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/docs/Echoes vNext Working http://GDD.md,Echoes vNext Working GDD V2 section 22.5: tactical pre-positioning and mid-battle guidance are post-foundation expansions.,Open,Superseded,"Reserve the deeper command layer for later, once the current prep-to-outcome readability is solid.",ECONOMY / EMOTION / COMBAT,Combat,New,Expansion
Expand Continuity into the full institution tree and house-shape differentiation layer so different Sanctums can develop distinct cultural forms beyond the opening unlock spine.,Sanctum,V2-CONTINUITY-101,"Continuity supports multiple house-shape directions, institution branches, and differentiated unlock logic beyond the opening foundation cadence.","V2-CONTINUITY-001, V2-SANCTUM-007",Expanded Sanctum Growth,Different houses can grow into meaningfully different cultural forms instead of sharing one near-linear unlock path.,Post-Foundation,None,440,CONTINUITY,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/docs/Echoes vNext Working http://GDD.md,Echoes vNext Working GDD V2 section 22.5: full Continuity institution tree and house-shape differentiation are post-foundation systems.,Open,Superseded,Move from one visible growth spine to truly differentiated house development paths.,SANCTUM / BOND / VOW / VOICE,Continuity,New,Expansion
"Expand institution-specific incident libraries and ambient routine embodiment so each major Sanctum space develops its own healthy beats, failure textures, social comedy, grief, and governance flavor.",Sanctum,V2-SANCTUM-103,"Backlog defines institution-specific incident packs, ambient routine differences, and deeper house-expression libraries for the complete game.","V2-SANCTUM-005, V2-SANCTUM-006, V2-SANCTUM-007, V2-SANCTUM-101",Expanded Sanctum Growth,Full-game Sanctum life can feel culturally and spatially distinct across institutions.,Full Game,None,530,SANCTUM,P2,/Users/jeffreygyamfi/Sites/echoes-vnext/docs/Echoes vNext Working http://GDD.md,Echoes vNext Working GDD V2 sections 21.2 and the institution behavior notes: later house life should deepen through institution-specific incidents and embodied routines.,Open,Draft,Complete the living-house fantasy by giving each space distinct social behavior rather than one generic incident pool.,SANCTUM / BOND / VOW / VOICE,Sanctum Life,New,Full Game
"Deepen Sanctum jobs into pillars, office politics, and institutional tension so governance, burden, and social structure become enduring house play rather than light duty assignment.",Sanctum,V2-SANCTUM-101,"Backlog defines pillar or office roles, governance conflicts, burden dynamics, and institution-political pressure as an expansion layer on top of basic job systems.","V2-SANCTUM-006, V2-SANCTUM-007, V2-CONTINUITY-101",Expanded Sanctum Growth,Sanctum governance can deepen later without overloading the foundation house loop.,Post-Foundation,None,450,SANCTUM,P2,/Users/jeffreygyamfi/Sites/echoes-vnext/docs/Echoes vNext Working http://GDD.md,"Echoes vNext Working GDD V2 section 22.5: deep Sanctum jobs, pillars, and office politics belong to post-foundation expansion.",Open,Superseded,Take jobs beyond early responsibilities into a fuller political and institutional house simulation.,SANCTUM / BOND / VOW / VOICE,Sanctum Life,New,Expansion
"Build the full mythic recognition rite layer with thresholds, failure rules, retry or redirection cadence, and departure pressure so myth-making becomes a complete late-game arc.",Echo Progression,V2-PROG-101,"Backlog defines recognition rites, thresholds, failure and retry rules, redirection cadence, and departure pressure as a complete high-end system.","V2-PROG-011, V2-WEAVE-102, V2-CONTINUITY-101",Mythic Endgame,Mythic progression can function as a true endgame arc instead of a vague future promotion state.,Full Game,None,510,PROG,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/docs/Echoes vNext Working http://GDD.md,Echoes vNext Working GDD V2 sections 21.6 and 22.5: mythic recognition rites and departure pressure are later high-end progression work.,Open,Superseded,Turn mythic recognition from a scaffold into a full late-game rite and consequence arc.,PROG,Callings,New,Full Game
"Add the first visible support-state layer for Faith, Harmony, and Favor so the house can express atmosphere and outcome pressure through social or spiritual condition without turning them into simple currencies.",Sanctum,V2-SUPPORT-101,"Backlog defines support states, what they affect, and how they remain expressive house conditions rather than wallet numbers.","V2-SANCTUM-005, V2-SANCTUM-004, V2-CONTINUITY-101",Expanded Sanctum Growth,The house can later gain richer social or spiritual atmosphere systems without redesigning pulse.,Post-Foundation,None,495,SANCTUM,P2,/Users/jeffreygyamfi/Sites/echoes-vnext/docs/Echoes vNext Working http://GDD.md,Echoes vNext Working GDD V2 broader support-state direction: house condition can later broaden beyond pulse into named atmosphere and favor states.,Open,Superseded,Keep the support-state knowledge visible so later house atmosphere systems do not get lost under economy or institution work.,SANCTUM / BOND / VOW / VOICE,Sanctum Life,New,Expansion
Finalize the Standing-9 naming replacement set and multi-mythic strain rules so high-end progression can support multiple myths without leaving weak placeholder naming in the final game.,Echo Progression,V2-PROG-102,Backlog defines a replacement set for weak Standing-9 names and clear multi-mythic strain rules that fit the locked structure.,"V2-PROG-007, V2-PROG-101",Mythic Endgame,The final high-end calling layer can ship without provisional naming or unresolved multi-myth pressure.,Full Game,None,520,PROG,P2,/Users/jeffreygyamfi/Sites/echoes-vnext/docs/http://calling-reference.md; /Users/jeffreygyamfi/Sites/echoes-vnext/docs/Echoes vNext Working http://GDD.md,Echoes vNext Working GDD V2 section 21.6: remaining Standing-9 naming cleanup and multi-mythic strain are explicit high-end open questions.,Open,Superseded,Finish the last naming and strain-cleanup work required to make the mythic tier feel complete rather than provisional.,PROG,Callings,New,Full Game
"Add the full distortion family spread, contamination expression, omen unease, and instability systems beyond the first foundation foreshadowing layer.",Echo Progression,V2-WEAVE-103,"Distortion families, contamination states, clue surfaces, and escalation hooks are defined as a coherent expansion system with clear relation to rites and identity shaping.","V2-WEAVE-102, V2-PROG-010",Expanded Weave,Distortion can function as a later strategic and emotional pressure layer without rewriting foundation Weave.,Post-Foundation,None,430,WEAVE,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/docs/Echoes vNext Working http://GDD.md,Echoes vNext Working GDD V2 section 22.5: full distortion family spread beyond the first priority set is post-foundation expansion.,Open,Superseded,Build out the deeper instability layer so distortion becomes a real progression and narrative pressure family rather than only foreshadowed fiction.,WEAVE,Rite,New,Expansion
"Add claimed and named gear events so equipment remains transferable by default but can accumulate attachment, memory, and light identity effects over time.",Economy / Support,V2-ITEM-101,"Backlog defines claimed or named gear events, light mechanical effects, and stronger emotional or surface effects as later item-depth work.","V2-ITEM-003, V2-ITEM-005",Expanded Economy and Craft,Item attachment can deepen later without breaking early transferability.,Post-Foundation,None,490,ECONOMY,P2,/Users/jeffreygyamfi/Sites/echoes-vnext/docs/Echoes vNext Working http://GDD.md,Echoes vNext Working GDD V2 section 19.8: claimed gear and emotional attachment are later identity-deepening item systems.,Open,Draft,Preserve the attachment layer for gear without forcing hard ownership into the foundation inventory model.,ECONOMY / EMOTION / COMBAT,Economy,New,Expansion
"Expand the Weaving Rite beyond Accept, Reject, and Defer to support contested outcomes, partial integrations, and deeper consequence branches without undoing the reduced foundation rite.",Echo Progression,V2-WEAVE-102,"Backlog and data seams define contested resolution paths, partial integrations, and later unstable outcomes as explicit post-foundation work.","V2-WEAVE-002, V2-WEAVE-004, V2-INFRA-005",Expanded Weave,The rite can deepen later without replacing or contradicting the foundation implementation.,Post-Foundation,None,420,WEAVE,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/docs/Echoes vNext Working http://GDD.md,Echoes vNext Working GDD V2 sections 20.17 and 22.5: contested Weaving Rite depth and later outcome branches remain real future structure.,Open,Superseded,Preserve the later rite branches as expansion work instead of letting the reduced foundation rite harden into the final form.,WEAVE,Rite,New,Expansion
"Expand Thread reserve into a true multi-Thread strategy layer with prioritization, holding pressure, reserve choice, and longer-term planning beyond the foundation cap and overflow rules.",Echo Progression,V2-WEAVE-101,"Backlog and data seams define multiple stored Threads, prioritization rules, longer-term planning hooks, and clear reserve-state surfaces.","V2-WEAVE-003, V2-WEAVE-004",Expanded Weave,Thread reserve becomes an expansion system rather than a single-thread holding rule.,Post-Foundation,None,410,WEAVE,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/docs/Echoes vNext Working http://GDD.md,Echoes vNext Working GDD V2 section 22.5: full multi-Thread reserve strategy is explicitly post-foundation expansion.,Open,Superseded,Turn reserve handling from a capped foundation seam into a strategic planning layer with meaningful tradeoffs across stored Threads.,WEAVE,Threads,New,Expansion
"Expand the Weaving Rite from the reduced foundation loop into contested and deeper resolution states so not every significant Thread decision stays inside Accept, Reject, or Defer.",Echo Progression,V2-WEAVE-006,"Backlog and runtime seams explicitly cover contested or deeper rite outcomes, player choice points, and consequence states beyond the foundation trio.","V2-WEAVE-002, V2-WEAVE-004",Reduced Weave Expansion,The game can deepen Thread integration without rebuilding the rite layer from scratch.,Post-Foundation,None,510,WEAVE,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/docs/Echoes vNext Working http://GDD.md,Echoes vNext Working GDD V2 section 22.5: contested Weaving Rite depth is explicitly post-foundation expansion.,Open,Superseded,Preserve the deeper rite structure as the next expansion layer after the reduced foundation outcome set.,WEAVE,Rite,New,Expansion
"Add claimed and named gear events so transferable equipment can still accumulate attachment, identity, and light emotional effects over longer play.",Economy / Support,V2-ITEM-006,"Backlog and data seams cover claimed or named gear events, transfer rules, and light emotional identity hooks.","V2-ITEM-003, V2-ITEM-004",Inventory and Loadout,The complete game can create attachment to gear without turning inventory into a rigid ownership puzzle.,Post-Foundation,None,580,ECONOMY,P2,/Users/jeffreygyamfi/Sites/echoes-vnext/docs/Echoes vNext Working http://GDD.md,Echoes vNext Working GDD V2 section 19.8: gear can become claimed or named through Echo choice events and should carry stronger emotional than raw power effect.,Open,Superseded,Preserve the longer-horizon attachment layer for gear without locking the foundation inventory into hard ownership.,ECONOMY / EMOTION / COMBAT,Economy,New,Expansion
Expand Continuity into the full institution tree and broader house-shape differentiation so the Sanctum stops converging on one narrow growth path.,Sanctum,V2-SANCTUM-008,"Backlog covers divergent institution trees, differentiating house shapes, and broader Continuity-driven unlock variety beyond the foundation institution set.","V2-CONTINUITY-001, V2-SANCTUM-007",House Growth Expansion,Sanctum growth can branch meaningfully instead of feeling linear.,Post-Foundation,SANCTUM-BLD-003,530,SANCTUM,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/ui/screens/sanctum/http://SanctumScreen.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/ui/sanctum/http://SanctumSpatialRenderer.gd,Echoes vNext Working GDD V2 section 22.5: full Continuity institution tree and house-shape differentiation are post-foundation expansion.,Open,Superseded,Use Continuity to create genuinely different house identities instead of one fixed unlock ladder.,SANCTUM / BOND / VOW / VOICE,Continuity,New,Expansion
"Deepen jobs into pillars, office politics, duty conflict, and broader governance pressure so house life grows beyond the first assignable offices.",Sanctum,V2-SANCTUM-009,"Backlog and data seams cover office conflict, deeper duty structures, and institutional politics beyond the first jobs.","V2-SANCTUM-005, V2-SANCTUM-006, V2-SANCTUM-008",House Growth Expansion,Sanctum life can expand into governance and office pressure without rewriting the foundation job layer.,Post-Foundation,None,540,SANCTUM,P2,/Users/jeffreygyamfi/Sites/echoes-vnext/ui/screens/sanctum/http://SanctumScreen.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/docs/Echoes vNext Working http://GDD.md,"Echoes vNext Working GDD V2 section 22.5: deep Sanctum jobs, pillars, and office politics are post-foundation expansion.",Open,Superseded,Turn early jobs into a fuller political and cultural house layer after the foundation offices exist.,SANCTUM / BOND / VOW / VOICE,Sanctum Life,New,Expansion
"Deliver the complete playable automatic tactical-guidance loop so the Keeper can prepare, observe, intervene, read each Echo's response, and understand the consequence across every production combat objective.",Economy / Support,V2-COMBAT-004,"From briefing through Resolve, COMBAT, PURIFY_SHRINE, RECOVER, PROTECT, ENDURE, PURSUE, and GUIDE_SPIRIT support readable tactical preparation, automatic-only playback with speed controls, round-earned Ping Charge, five spatial pings with exclusive recipient scopes, snapshotted recipients, next-round Echo responses with reasons, visible action consequences, and deterministic causal review; production code remains independent of the prototype.","V2-STAGE-004, V2-COMBAT-001, V2-COMBAT-002, V2-COMBAT-003, V2-DIRECTIVE-002, V2-INFRA-004",Foundation Tactical Guidance,The production Realm flow proves Read → prepare → observe → guide → Echo interprets → visible action → review for all current combat objectives without pausing combat or granting direct unit control.,Foundation,COMBAT-004,262,COMBAT,P1,docs/[combat-modes.md](http://combat-modes.md); core/combat/[CombatState.gd](http://CombatState.gd); core/actors/[ActorStateMachine.gd](http://ActorStateMachine.gd); core/actors/behaviors/[BehaviorArbiter.gd](http://BehaviorArbiter.gd); core/directives/[DirectiveService.gd](http://DirectiveService.gd); prototypes/keeper_tactical_guidance/[SPEC.md](http://SPEC.md); prototypes/keeper_tactical_guidance/[FINDINGS.md](http://FINDINGS.md); prototypes/keeper_tactical_guidance/[RUN.md](http://RUN.md); docs/proposals/[keeper-tactical-guidance-promotion.md](http://keeper-tactical-guidance-promotion.md); docs/proposals/[keeper-tactical-guidance-architecture.md](http://keeper-tactical-guidance-architecture.md),"Echoes vNext Working GDD V2.5 sections 7.3, 11.5, 20.17, 21.3, 22.4, 22.5, and 23: the bounded playable Keeper Tactical Guidance loop is Foundation scope; breadth beyond that loop remains later work.",Mostly Locked,Ready,"Make autonomous combat a Foundation Keeper experience: consolidated deployment, continuous playback, round-earned spatial guidance, recipient-specific interpretation, visible action consequence, and causal review.",ECONOMY / EMOTION / COMBAT,Combat,New,Foundation
"Expand the Realm roster and endgame Realm variety so post-starter and late-game Realms stay clearly differentiated in pressure, restoration logic, and narrative tone instead of converging into near-duplicates.",Realm / Tactical,V2-STAGE-006,"Backlog covers broader Realm roster growth, stronger differentiation, and endgame Realm logic beyond the foundation set.","V2-STAGE-002, V2-STAGE-004",Realm Expansion,The complete game can sustain long-run Realm variety without flattening tone or objective structure.,Full Game,"REALM-002, REALM-003",720,STAGE,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/core/realms/http://RealmGenerator.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/docs/Echoes vNext Working http://GDD.md,Echoes vNext Working GDD V2: later Realm variety should remain non-sequential and clearly differentiated rather than collapsing into near-duplicates.,Mostly Locked,Draft,Keep complete-game Realm variety explicit in the backlog beyond the foundation pair of post-starter Realms.,DIRECTIVE / INTEL / STAGE,Stages,New,Full Game
"Implement mythic-recognition rites, failure and redirection cadence, and departure pressure so high-end Echo progression can become a real late-game arc instead of stopping at provisional scaffolding.",Echo Progression,V2-PROG-012,"Backlog covers mythic recognition rites, failure or redirection cadence, departure pressure, and their major system dependencies as a coherent late-game track.","V2-PROG-011, V2-WEAVE-006, V2-SANCTUM-008",Mythic Progression,High-end Echo progression can complete without inventing a second progression model later.,Full Game,None,700,PROG,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/core/progression/http://CallingService.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/docs/Echoes vNext Working http://GDD.md,Echoes vNext Working GDD V2 sections 21.6 and 22.5: mythic recognition rites and departure pressure are beyond foundation and belong to later completion work.,Open,Superseded,Turn mythic progression from a scaffold into a full late-game rite and departure arc.,PROG,Callings,New,Full Game
"Expand Thread reserve into a full multi-Thread strategy layer with meaningful reserve composition, sequencing decisions, and longer-horizon management beyond the foundation cap and overflow rules.",Echo Progression,V2-WEAVE-005,"Backlog and data seams cover multi-Thread reserve state, player-facing reserve choices, and longer-horizon reserve pressure beyond foundation overflow UX.","V2-WEAVE-003, V2-WEAVE-004",Reduced Weave Expansion,Reserve play can expand into a real strategic layer without reworking the foundation Weave spine.,Post-Foundation,None,500,WEAVE,P1,/Users/jeffreygyamfi/Sites/echoes-vnext/core/save/http://SaveSchema.gd; /Users/jeffreygyamfi/Sites/echoes-vnext/docs/Echoes vNext Working http://GDD.md,Echoes vNext Working GDD V2 section 22.5: full multi-Thread reserve strategy is explicitly post-foundation expansion.,Open,Draft,Move from one-Thread foundation reserve handling into a broader strategic reserve layer.,WEAVE,Threads,New,Expansion
"Expand distortion into a broader family spread so contamination, omen unease, instability, and future strain can mature into a full systemic layer after the first priority set.",Echo Progression,V2-WEAVE-007,"The backlog preserves multiple distortion families, their triggers, and their consequence hooks as a coherent expansion track.",V2-WEAVE-006,Reduced Weave Expansion,Distortion can grow into a meaningful system without clashing with the reduced foundation rite loop.,Post-Foundation,None,520,WEAVE,P2,/Users/jeffreygyamfi/Sites/echoes-vnext/docs/Echoes vNext Working http://GDD.md,Echoes vNext Working GDD V2 section 22.5: full distortion family spread beyond the first priority set is post-foundation.,Open,Superseded,Keep distortion as a real future system instead of a discarded concept after the foundation cutline.,WEAVE,Rite,New,Expansion
"Complete the high-end progression layer by balancing deployment costs, multi-mythic strain, and the final Standing-9 naming cleanup so the upper game remains coherent under real roster pressure.",Echo Progression,V2-PROG-013,"Backlog covers deployment-cost tuning, multi-mythic strain, and Standing-9 naming replacement work as one coherent completion layer.",V2-PROG-012,Mythic Progression,Late-game progression can scale cleanly without placeholder names or unbounded mythic power.,Full Game,None,710,PROG,P2,/Users/jeffreygyamfi/Sites/echoes-vnext/docs/http://calling-reference.md; /Users/jeffreygyamfi/Sites/echoes-vnext/docs/Echoes vNext Working http://GDD.md,"Echoes vNext Working GDD V2 section 21.6: deployment-cost tuning, multi-mythic strain effects, and Standing-9 naming cleanup remain later high-end progression work.",Open,Draft,Preserve the final balancing and naming work needed for the top-end progression game.,PROG,Callings,New,Full Game
"Add the first visible house-state support layer for Faith, Harmony, and Favor so long-run atmosphere and outcomes can be shaped by support conditions without turning them into currencies.",Sanctum,V2-SUPPORT-001,"Backlog and data seams preserve Faith, Harmony, and Favor as support states with outcome and atmosphere effects, not as spendable currencies.","V2-SANCTUM-004, V2-SANCTUM-005, V2-ECONOMY-002",House Growth Expansion,The complete game can grow house texture through support states without redesigning core economy.,Post-Foundation,None,590,SANCTUM,P2,/Users/jeffreygyamfi/Sites/echoes-vnext/docs/Echoes vNext Working http://GDD.md,Echoes vNext Working GDD V2: support states should affect outcomes and atmosphere without collapsing into wallet currencies.,Open,Draft,Keep the broader house-support layer visible as a later expansion track instead of losing it between economy and Sanctum systems.,SANCTUM / BOND / VOW / VOICE,Sanctum Life,New,Expansion
